# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-10-06 06:14:12 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01104500 CHARLES RIVER AT WALTHAM, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01104500
#            TS   parameter     statistic     Description
#         64222       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	64222_00060_00003	64222_00060_00003_cd
USGS	01104500	1932-02-03	218	A
USGS	01104500	1932-02-04	147	A
USGS	01104500	1932-02-05	272	A
USGS	01104500	1932-02-06	180	A
USGS	01104500	1932-02-07	109	A
USGS	01104500	1932-02-08	166	A
USGS	01104500	1932-02-09	272	A
USGS	01104500	1932-02-10	205	A
USGS	01104500	1932-02-11	98.0	A
USGS	01104500	1932-02-12	223	A
USGS	01104500	1932-02-13	276	A
USGS	01104500	1932-02-14	272	A
USGS	01104500	1932-02-15	272	A
USGS	01104500	1932-02-16	165	A
USGS	01104500	1932-02-17	222	A
USGS	01104500	1932-02-18	280	A
USGS	01104500	1932-02-19	276	A
USGS	01104500	1932-02-20	218	A
USGS	01104500	1932-02-21	101	A
USGS	01104500	1932-02-22	232	A
USGS	01104500	1932-02-23	272	A
USGS	01104500	1932-02-24	147	A
USGS	01104500	1932-02-25	92.0	A
USGS	01104500	1932-02-26	213	A
USGS	01104500	1932-02-27	180	A
USGS	01104500	1932-02-28	92.0	A
USGS	01104500	1932-02-29	154	A
USGS	01104500	1932-03-01	272	A
USGS	01104500	1932-03-02	152	A
USGS	01104500	1932-03-03	96.0	A
USGS	01104500	1932-03-04	232	A
USGS	01104500	1932-03-05	280	A
USGS	01104500	1932-03-06	264	A
USGS	01104500	1932-03-07	293	A
USGS	01104500	1932-03-08	390	A
USGS	01104500	1932-03-09	407	A
USGS	01104500	1932-03-10	407	A
USGS	01104500	1932-03-11	402	A
USGS	01104500	1932-03-12	416	A
USGS	01104500	1932-03-13	420	A
USGS	01104500	1932-03-14	412	A
USGS	01104500	1932-03-15	398	A
USGS	01104500	1932-03-16	377	A
USGS	01104500	1932-03-17	339	A
USGS	01104500	1932-03-18	339	A
USGS	01104500	1932-03-19	301	A
USGS	01104500	1932-03-20	264	A
USGS	01104500	1932-03-21	264	A
USGS	01104500	1932-03-22	264	A
USGS	01104500	1932-03-23	264	A
USGS	01104500	1932-03-24	264	A
USGS	01104500	1932-03-25	264	A
USGS	01104500	1932-03-26	264	A
USGS	01104500	1932-03-27	264	A
USGS	01104500	1932-03-28	339	A
USGS	01104500	1932-03-29	590	A
USGS	01104500	1932-03-30	590	A
USGS	01104500	1932-03-31	595	A
USGS	01104500	1932-04-01	640	A
USGS	01104500	1932-04-02	665	A
USGS	01104500	1932-04-03	665	A
USGS	01104500	1932-04-04	665	A
USGS	01104500	1932-04-05	640	A
USGS	01104500	1932-04-06	635	A
USGS	01104500	1932-04-07	605	A
USGS	01104500	1932-04-08	545	A
USGS	01104500	1932-04-09	525	A
USGS	01104500	1932-04-10	505	A
USGS	01104500	1932-04-11	481	A
USGS	01104500	1932-04-12	525	A
USGS	01104500	1932-04-13	520	A
USGS	01104500	1932-04-14	500	A
USGS	01104500	1932-04-15	485	A
USGS	01104500	1932-04-16	481	A
USGS	01104500	1932-04-17	476	A
USGS	01104500	1932-04-18	481	A
USGS	01104500	1932-04-19	476	A
USGS	01104500	1932-04-20	466	A
USGS	01104500	1932-04-21	448	A
USGS	01104500	1932-04-22	420	A
USGS	01104500	1932-04-23	373	A
USGS	01104500	1932-04-24	348	A
USGS	01104500	1932-04-25	335	A
USGS	01104500	1932-04-26	318	A
USGS	01104500	1932-04-27	301	A
USGS	01104500	1932-04-28	289	A
USGS	01104500	1932-04-29	276	A
USGS	01104500	1932-04-30	198	A
USGS	01104500	1932-05-01	126	A
USGS	01104500	1932-05-02	271	A
USGS	01104500	1932-05-03	276	A
USGS	01104500	1932-05-04	264	A
USGS	01104500	1932-05-05	201	A
USGS	01104500	1932-05-06	94.0	A
USGS	01104500	1932-05-07	228	A
USGS	01104500	1932-05-08	264	A
USGS	01104500	1932-05-09	138	A
USGS	01104500	1932-05-10	98.0	A
USGS	01104500	1932-05-11	230	A
USGS	01104500	1932-05-12	208	A
USGS	01104500	1932-05-13	98.0	A
USGS	01104500	1932-05-14	103	A
USGS	01104500	1932-05-15	112	A
USGS	01104500	1932-05-16	230	A
USGS	01104500	1932-05-17	197	A
USGS	01104500	1932-05-18	96.0	A
USGS	01104500	1932-05-19	96.0	A
USGS	01104500	1932-05-20	96.0	A
USGS	01104500	1932-05-21	96.0	A
USGS	01104500	1932-05-22	94.0	A
USGS	01104500	1932-05-23	94.0	A
USGS	01104500	1932-05-24	83.0	A
USGS	01104500	1932-05-25	66.0	A
USGS	01104500	1932-05-26	66.0	A
USGS	01104500	1932-05-27	54.0	A
USGS	01104500	1932-05-28	40.0	A
USGS	01104500	1932-05-29	40.0	A
USGS	01104500	1932-05-30	47.0	A
USGS	01104500	1932-05-31	67.0	A
USGS	01104500	1932-06-01	103	A
USGS	01104500	1932-06-02	101	A
USGS	01104500	1932-06-03	96.0	A
USGS	01104500	1932-06-04	63.0	A
USGS	01104500	1932-06-05	38.0	A
USGS	01104500	1932-06-06	34.0	A
USGS	01104500	1932-06-07	41.0	A
USGS	01104500	1932-06-08	42.0	A
USGS	01104500	1932-06-09	42.0	A
USGS	01104500	1932-06-10	39.0	A
USGS	01104500	1932-06-11	43.0	A
USGS	01104500	1932-06-12	41.0	A
USGS	01104500	1932-06-13	42.0	A
USGS	01104500	1932-06-14	42.0	A
USGS	01104500	1932-06-15	39.0	A
USGS	01104500	1932-06-16	42.0	A
USGS	01104500	1932-06-17	49.0	A
USGS	01104500	1932-06-18	54.0	A
USGS	01104500	1932-06-19	59.0	A
USGS	01104500	1932-06-20	97.0	A
USGS	01104500	1932-06-21	109	A
USGS	01104500	1932-06-22	107	A
USGS	01104500	1932-06-23	68.0	A
USGS	01104500	1932-06-24	43.0	A
USGS	01104500	1932-06-25	45.0	A
USGS	01104500	1932-06-26	42.0	A
USGS	01104500	1932-06-27	43.0	A
USGS	01104500	1932-06-28	44.0	A
USGS	01104500	1932-06-29	42.0	A
USGS	01104500	1932-06-30	44.0	A
USGS	01104500	1932-07-01	45.0	A
USGS	01104500	1932-07-02	43.0	A
USGS	01104500	1932-07-03	44.0	A
USGS	01104500	1932-07-04	44.0	A
USGS	01104500	1932-07-05	44.0	A
USGS	01104500	1932-07-06	46.0	A
USGS	01104500	1932-07-07	48.0	A
USGS	01104500	1932-07-08	48.0	A
USGS	01104500	1932-07-09	53.0	A
USGS	01104500	1932-07-10	46.0	A
USGS	01104500	1932-07-11	42.0	A
USGS	01104500	1932-07-12	42.0	A
USGS	01104500	1932-07-13	41.0	A
USGS	01104500	1932-07-14	43.0	A
USGS	01104500	1932-07-15	42.0	A
USGS	01104500	1932-07-16	44.0	A
USGS	01104500	1932-07-17	30.0	A
USGS	01104500	1932-07-18	33.0	A
USGS	01104500	1932-07-19	32.0	A
USGS	01104500	1932-07-20	31.0	A
USGS	01104500	1932-07-21	30.0	A
USGS	01104500	1932-07-22	29.0	A
USGS	01104500	1932-07-23	31.0	A
USGS	01104500	1932-07-24	5.00	A
USGS	01104500	1932-07-25	27.0	A
USGS	01104500	1932-07-26	25.0	A
USGS	01104500	1932-07-27	24.0	A
USGS	01104500	1932-07-28	21.0	A
USGS	01104500	1932-07-29	23.0	A
USGS	01104500	1932-07-30	24.0	A
USGS	01104500	1932-07-31	4.00	A
USGS	01104500	1932-08-01	18.0	A
USGS	01104500	1932-08-02	20.0	A
USGS	01104500	1932-08-03	23.0	A
USGS	01104500	1932-08-04	20.0	A
USGS	01104500	1932-08-05	20.0	A
USGS	01104500	1932-08-06	21.0	A
USGS	01104500	1932-08-07	4.00	A
USGS	01104500	1932-08-08	19.0	A
USGS	01104500	1932-08-09	20.0	A
USGS	01104500	1932-08-10	18.0	A
USGS	01104500	1932-08-11	22.0	A
USGS	01104500	1932-08-12	23.0	A
USGS	01104500	1932-08-13	24.0	A
USGS	01104500	1932-08-14	5.00	A
USGS	01104500	1932-08-15	20.0	A
USGS	01104500	1932-08-16	20.0	A
USGS	01104500	1932-08-17	20.0	A
USGS	01104500	1932-08-18	22.0	A
USGS	01104500	1932-08-19	41.0	A
USGS	01104500	1932-08-20	32.0	A
USGS	01104500	1932-08-21	10.0	A
USGS	01104500	1932-08-22	28.0	A
USGS	01104500	1932-08-23	24.0	A
USGS	01104500	1932-08-24	30.0	A
USGS	01104500	1932-08-25	31.0	A
USGS	01104500	1932-08-26	34.0	A
USGS	01104500	1932-08-27	35.0	A
USGS	01104500	1932-08-28	6.00	A
USGS	01104500	1932-08-29	27.0	A
USGS	01104500	1932-08-30	26.0	A
USGS	01104500	1932-08-31	28.0	A
USGS	01104500	1932-09-01	28.0	A
USGS	01104500	1932-09-02	36.0	A
USGS	01104500	1932-09-03	33.0	A
USGS	01104500	1932-09-04	5.00	A
USGS	01104500	1932-09-05	26.0	A
USGS	01104500	1932-09-06	30.0	A
USGS	01104500	1932-09-07	63.0	A
USGS	01104500	1932-09-08	101	A
USGS	01104500	1932-09-09	75.0	A
USGS	01104500	1932-09-10	32.0	A
USGS	01104500	1932-09-11	4.00	A
USGS	01104500	1932-09-12	24.0	A
USGS	01104500	1932-09-13	23.0	A
USGS	01104500	1932-09-14	26.0	A
USGS	01104500	1932-09-15	26.0	A
USGS	01104500	1932-09-16	61.0	A
USGS	01104500	1932-09-17	98.0	A
USGS	01104500	1932-09-18	94.0	A
USGS	01104500	1932-09-19	225	A
USGS	01104500	1932-09-20	264	A
USGS	01104500	1932-09-21	256	A
USGS	01104500	1932-09-22	197	A
USGS	01104500	1932-09-23	189	A
USGS	01104500	1932-09-24	285	A
USGS	01104500	1932-09-25	289	A
USGS	01104500	1932-09-26	289	A
USGS	01104500	1932-09-27	280	A
USGS	01104500	1932-09-28	276	A
USGS	01104500	1932-09-29	260	A
USGS	01104500	1932-09-30	252	A
USGS	01104500	1932-10-01	116	A
USGS	01104500	1932-10-02	22.0	A
USGS	01104500	1932-10-03	228	A
USGS	01104500	1932-10-04	203	A
USGS	01104500	1932-10-05	86.0	A
USGS	01104500	1932-10-06	86.0	A
USGS	01104500	1932-10-07	84.0	A
USGS	01104500	1932-10-08	84.0	A
USGS	01104500	1932-10-09	61.0	A
USGS	01104500	1932-10-10	25.0	A
USGS	01104500	1932-10-11	67.0	A
USGS	01104500	1932-10-12	56.0	A
USGS	01104500	1932-10-13	45.0	A
USGS	01104500	1932-10-14	40.0	A
USGS	01104500	1932-10-15	38.0	A
USGS	01104500	1932-10-16	35.0	A
USGS	01104500	1932-10-17	33.0	A
USGS	01104500	1932-10-18	84.0	A
USGS	01104500	1932-10-19	250	A
USGS	01104500	1932-10-20	412	A
USGS	01104500	1932-10-21	500	A
USGS	01104500	1932-10-22	540	A
USGS	01104500	1932-10-23	565	A
USGS	01104500	1932-10-24	550	A
USGS	01104500	1932-10-25	525	A
USGS	01104500	1932-10-26	510	A
USGS	01104500	1932-10-27	575	A
USGS	01104500	1932-10-28	595	A
USGS	01104500	1932-10-29	515	A
USGS	01104500	1932-10-30	520	A
USGS	01104500	1932-10-31	495	A
USGS	01104500	1932-11-01	466	A
USGS	01104500	1932-11-02	505	A
USGS	01104500	1932-11-03	495	A
USGS	01104500	1932-11-04	452	A
USGS	01104500	1932-11-05	452	A
USGS	01104500	1932-11-06	430	A
USGS	01104500	1932-11-07	513	A
USGS	01104500	1932-11-08	535	A
USGS	01104500	1932-11-09	555	A
USGS	01104500	1932-11-10	800	A
USGS	01104500	1932-11-11	855	A
USGS	01104500	1932-11-12	915	A
USGS	01104500	1932-11-13	885	A
USGS	01104500	1932-11-14	885	A
USGS	01104500	1932-11-15	885	A
USGS	01104500	1932-11-16	855	A
USGS	01104500	1932-11-17	855	A
USGS	01104500	1932-11-18	828	A
USGS	01104500	1932-11-19	800	A
USGS	01104500	1932-11-20	772	A
USGS	01104500	1932-11-21	718	A
USGS	01104500	1932-11-22	610	A
USGS	01104500	1932-11-23	575	A
USGS	01104500	1932-11-24	545	A
USGS	01104500	1932-11-25	515	A
USGS	01104500	1932-11-26	481	A
USGS	01104500	1932-11-27	437	A
USGS	01104500	1932-11-28	450	A
USGS	01104500	1932-11-29	440	A
USGS	01104500	1932-11-30	416	A
USGS	01104500	1932-12-01	378	A
USGS	01104500	1932-12-02	359	A
USGS	01104500	1932-12-03	350	A
USGS	01104500	1932-12-04	341	A
USGS	01104500	1932-12-05	318	A
USGS	01104500	1932-12-06	304	A
USGS	01104500	1932-12-07	296	A
USGS	01104500	1932-12-08	292	A
USGS	01104500	1932-12-09	300	A
USGS	01104500	1932-12-10	212	A
USGS	01104500	1932-12-11	127	A
USGS	01104500	1932-12-12	277	A
USGS	01104500	1932-12-13	225	A
USGS	01104500	1932-12-14	160	A
USGS	01104500	1932-12-15	130	A
USGS	01104500	1932-12-16	117	A
USGS	01104500	1932-12-17	127	A
USGS	01104500	1932-12-18	162	A
USGS	01104500	1932-12-19	222	A
USGS	01104500	1932-12-20	318	A
USGS	01104500	1932-12-21	196	A
USGS	01104500	1932-12-22	112	A
USGS	01104500	1932-12-23	168	A
USGS	01104500	1932-12-24	313	A
USGS	01104500	1932-12-25	254	A
USGS	01104500	1932-12-26	117	A
USGS	01104500	1932-12-27	290	A
USGS	01104500	1932-12-28	354	A
USGS	01104500	1932-12-29	359	A
USGS	01104500	1932-12-30	350	A
USGS	01104500	1932-12-31	350	A
USGS	01104500	1933-01-01	345	A
USGS	01104500	1933-01-02	341	A
USGS	01104500	1933-01-03	336	A
USGS	01104500	1933-01-04	327	A
USGS	01104500	1933-01-05	313	A
USGS	01104500	1933-01-06	309	A
USGS	01104500	1933-01-07	192	A
USGS	01104500	1933-01-08	181	A
USGS	01104500	1933-01-09	331	A
USGS	01104500	1933-01-10	313	A
USGS	01104500	1933-01-11	309	A
USGS	01104500	1933-01-12	309	A
USGS	01104500	1933-01-13	313	A
USGS	01104500	1933-01-14	299	A
USGS	01104500	1933-01-15	313	A
USGS	01104500	1933-01-16	313	A
USGS	01104500	1933-01-17	313	A
USGS	01104500	1933-01-18	304	A
USGS	01104500	1933-01-19	300	A
USGS	01104500	1933-01-20	292	A
USGS	01104500	1933-01-21	292	A
USGS	01104500	1933-01-22	309	A
USGS	01104500	1933-01-23	292	A
USGS	01104500	1933-01-24	318	A
USGS	01104500	1933-01-25	322	A
USGS	01104500	1933-01-26	322	A
USGS	01104500	1933-01-27	322	A
USGS	01104500	1933-01-28	322	A
USGS	01104500	1933-01-29	313	A
USGS	01104500	1933-01-30	313	A
USGS	01104500	1933-01-31	313	A
USGS	01104500	1933-02-01	260	A
USGS	01104500	1933-02-02	217	A
USGS	01104500	1933-02-03	318	A
USGS	01104500	1933-02-04	247	A
USGS	01104500	1933-02-05	180	A
USGS	01104500	1933-02-06	143	A
USGS	01104500	1933-02-07	137	A
USGS	01104500	1933-02-08	167	A
USGS	01104500	1933-02-09	220	A
USGS	01104500	1933-02-10	318	A
USGS	01104500	1933-02-11	318	A
USGS	01104500	1933-02-12	260	A
USGS	01104500	1933-02-13	175	A
USGS	01104500	1933-02-14	327	A
USGS	01104500	1933-02-15	318	A
USGS	01104500	1933-02-16	309	A
USGS	01104500	1933-02-17	204	A
USGS	01104500	1933-02-18	213	A
USGS	01104500	1933-02-19	313	A
USGS	01104500	1933-02-20	313	A
USGS	01104500	1933-02-21	322	A
USGS	01104500	1933-02-22	345	A
USGS	01104500	1933-02-23	397	A
USGS	01104500	1933-02-24	435	A
USGS	01104500	1933-02-25	465	A
USGS	01104500	1933-02-26	516	A
USGS	01104500	1933-02-27	486	A
USGS	01104500	1933-02-28	480	A
USGS	01104500	1933-03-01	480	A
USGS	01104500	1933-03-02	537	A
USGS	01104500	1933-03-03	547	A
USGS	01104500	1933-03-04	542	A
USGS	01104500	1933-03-05	532	A
USGS	01104500	1933-03-06	516	A
USGS	01104500	1933-03-07	501	A
USGS	01104500	1933-03-08	827	A
USGS	01104500	1933-03-09	964	A
USGS	01104500	1933-03-10	964	A
USGS	01104500	1933-03-11	910	A
USGS	01104500	1933-03-12	992	A
USGS	01104500	1933-03-13	992	A
USGS	01104500	1933-03-14	1020	A
USGS	01104500	1933-03-15	1050	A
USGS	01104500	1933-03-16	1020	A
USGS	01104500	1933-03-17	1020	A
USGS	01104500	1933-03-18	992	A
USGS	01104500	1933-03-19	964	A
USGS	01104500	1933-03-20	964	A
USGS	01104500	1933-03-21	1020	A
USGS	01104500	1933-03-22	1020	A
USGS	01104500	1933-03-23	992	A
USGS	01104500	1933-03-24	992	A
USGS	01104500	1933-03-25	964	A
USGS	01104500	1933-03-26	964	A
USGS	01104500	1933-03-27	937	A
USGS	01104500	1933-03-28	910	A
USGS	01104500	1933-03-29	882	A
USGS	01104500	1933-03-30	854	A
USGS	01104500	1933-03-31	854	A
USGS	01104500	1933-04-01	854	A
USGS	01104500	1933-04-02	854	A
USGS	01104500	1933-04-03	827	A
USGS	01104500	1933-04-04	910	A
USGS	01104500	1933-04-05	937	A
USGS	01104500	1933-04-06	937	A
USGS	01104500	1933-04-07	937	A
USGS	01104500	1933-04-08	964	A
USGS	01104500	1933-04-09	964	A
USGS	01104500	1933-04-10	910	A
USGS	01104500	1933-04-11	882	A
USGS	01104500	1933-04-12	910	A
USGS	01104500	1933-04-13	1050	A
USGS	01104500	1933-04-14	1120	A
USGS	01104500	1933-04-15	1180	A
USGS	01104500	1933-04-16	1220	A
USGS	01104500	1933-04-17	1260	A
USGS	01104500	1933-04-18	1370	A
USGS	01104500	1933-04-19	1440	A
USGS	01104500	1933-04-20	1400	A
USGS	01104500	1933-04-21	1330	A
USGS	01104500	1933-04-22	1290	A
USGS	01104500	1933-04-23	1220	A
USGS	01104500	1933-04-24	1120	A
USGS	01104500	1933-04-25	1050	A
USGS	01104500	1933-04-26	1020	A
USGS	01104500	1933-04-27	940	A
USGS	01104500	1933-04-28	880	A
USGS	01104500	1933-04-29	840	A
USGS	01104500	1933-04-30	780	A
USGS	01104500	1933-05-01	740	A
USGS	01104500	1933-05-02	690	A
USGS	01104500	1933-05-03	650	A
USGS	01104500	1933-05-04	620	A
USGS	01104500	1933-05-05	570	A
USGS	01104500	1933-05-06	540	A
USGS	01104500	1933-05-07	500	A
USGS	01104500	1933-05-08	470	A
USGS	01104500	1933-05-09	450	A
USGS	01104500	1933-05-10	420	A
USGS	01104500	1933-05-11	400	A
USGS	01104500	1933-05-12	370	A
USGS	01104500	1933-05-13	350	A
USGS	01104500	1933-05-14	330	A
